agency_id,agency_name,agency_url,agency_timezone,agency_fare_url
OP2716,"RATP","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5842,"Aérobus","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4390,"Vallée Sud Grand Paris","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3931,"Saint Germain Boucles de Seine","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3961,"Brie et 2 Morin","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP6040,"Paris Seine Mobilités","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5512,"Lignes Île-de-France Ouest","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3963,"Essonne Sud Ouest","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4823,"Pays de Montereau","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4918,"Provinois - Brie et Seine","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP2666,"Grand Melun","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5517,"Cergy-Pontoise Confluence","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP68,"Saint-Quentin-en-Yvelines","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5941,"Val Parisis","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5875,"Francilité Val Parisis","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4522,"Grand Paris Seine Ouest","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3400,"Argenteuil - Boucles de Seine","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP6073,"Marne et Brie","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5515,"Haut Val d'Oise","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP2715,"Seine Grand Orly","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP2742,"Keolis Ouest Val-de-Marne","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4360,"Pays Briard","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4825,"Roissy Est","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP5611,"Roissy Ouest","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP2806,"Poissy - Les Mureaux","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP4061,"Essonne Sud Est","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3932,"Vélizy Vallées","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3935,"Val d'Yerres Val de Seine","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP2672,"Autocars Dominique","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP3933,"Meaux et Ourcq","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
OP6172,"RATP Cap Arc Sud et Ouest","https://www.iledefrance-mobilites.fr",Europe/Paris,"https://app.idf-mobilites.fr/gtfs"
