service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
50,0,0,0,1,0,0,0,20260101,20260122
85,0,0,0,1,0,0,0,20260108,20260122
124,0,0,0,1,0,0,0,20260101,20260101
487,0,0,0,1,0,0,0,20260122,20260122
241,0,1,1,1,0,0,0,20260106,20260128
756,0,1,1,1,0,0,0,20260120,20260128
963,0,1,1,1,0,0,0,20260106,20260108
245,0,1,1,1,0,0,0,20251230,20260128
134,0,1,1,1,0,0,0,20251230,20260101
194,1,1,0,0,1,1,0,20251230,20260127
253,1,0,1,0,0,0,0,20251231,20260128
811,1,0,1,0,0,0,0,20260126,20260128
157,1,0,1,0,0,0,0,20260105,20260128
655,1,0,1,0,0,0,0,20251229,20251231
248,1,0,1,0,0,0,0,20251230,20260128
930,0,0,1,0,0,1,1,20260101,20260128
925,0,0,1,0,0,1,1,20251227,20251231
74,0,1,1,0,1,1,0,20251230,20260124
94,0,1,1,0,1,1,0,20251230,20260124
65,0,1,1,0,1,1,0,20251230,20260103
681,1,1,0,0,0,1,0,20251227,20251230
195,1,1,0,0,0,1,0,20251230,20260127
337,1,1,0,1,1,1,0,20251230,20260127
36,1,1,0,1,1,1,0,20251230,20260127
218,1,1,0,1,1,1,0,20251230,20260127
405,1,1,0,1,1,1,0,20260105,20260127
182,0,1,0,0,1,0,0,20251230,20260123
354,0,1,0,0,1,0,0,20251230,20260127
359,0,1,0,0,1,0,0,20251230,20260127
312,0,1,0,0,1,0,0,20251230,20260127
335,0,1,0,0,1,0,0,20251230,20260127
309,0,1,0,0,1,0,0,20260106,20260127
109,0,1,0,0,1,0,0,20251230,20260102
607,1,1,1,1,1,1,1,20260105,20260118
509,1,1,1,1,1,1,1,20251227,20260128
479,1,1,1,1,1,1,1,20251227,20260116
847,1,1,1,1,1,1,1,20260105,20260128
887,1,1,1,1,1,1,1,20260106,20260128
91,1,1,1,1,1,1,1,20260101,20260128
519,1,1,1,1,1,1,1,20251229,20260128
457,1,1,1,1,1,1,1,20251227,20260128
536,1,1,1,1,1,1,1,20251227,20260116
447,1,1,1,1,1,1,1,20251227,20260128
750,1,1,1,1,1,1,1,20251227,20260128
749,1,1,1,1,1,1,1,20251227,20260128
463,1,1,1,1,1,1,1,20251227,20260125
741,1,1,1,1,1,1,1,20260117,20260128
423,1,1,1,1,1,1,1,20251227,20260128
719,1,1,1,1,1,1,1,20260102,20260128
835,1,1,1,1,1,1,1,20260101,20260125
458,1,1,1,1,1,1,1,20251227,20260128
661,1,1,1,1,1,1,1,20251227,20260118
690,1,1,1,1,1,1,1,20251227,20260128
508,1,1,1,1,1,1,1,20251227,20260128
72,1,1,1,1,1,1,1,20251230,20260128
766,1,1,1,1,1,1,1,20260104,20260116
666,1,1,1,1,1,1,1,20260102,20260128
16,1,1,1,1,1,1,1,20251230,20260106
415,1,1,1,1,1,1,1,20260101,20260128
627,1,1,1,1,1,1,1,20251227,20260111
875,1,1,1,1,1,1,1,20260103,20260128
829,1,1,1,1,1,1,1,20251227,20260128
426,1,1,1,1,1,1,1,20251227,20260128
1041,1,1,1,1,1,1,1,20251228,20260128
807,1,1,1,1,1,1,1,20260105,20260123
979,1,1,1,1,1,1,1,20251227,20260128
839,1,1,1,1,1,1,1,20260101,20260125
820,1,1,1,1,1,1,1,20251229,20260128
611,1,1,1,1,1,1,1,20251227,20260128
849,1,1,1,1,1,1,1,20260102,20260128
584,1,1,1,1,1,1,1,20251229,20260128
564,1,1,1,1,1,1,1,20251229,20260128
