pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time
"WLITOAUTO12806","PARIS174344","ITOAUTO101544",1,0,20.8199996948242188,26
"WLITOAUTO8503","ITOAUTO88659","ITOAUTO95731",1,0,41.5800018310546875,52
"WLITOAUTO12644","PARIS174161","ITOAUTO93748",1,0,63.2000007629394531,80
"WLITOAUTO10971","PARIS174161","ITOAUTO98629",1,0,45.8800010681152344,58
"WLITOAUTO10424","PARIS174251","ITOAUTO93787",1,0,143.55999755859375,182
"WLITOAUTO15654","ITOAUTO118110","ITOAUTO90916",1,1,84.970001220703125,108
"WLITOAUTO15655","ITOAUTO118110","ITOAUTO90931",1,1,104.019996643066406,132
"WLITOAUTO15652","ITOAUTO118110","ITOAUTO90926",1,1,103.199996948242188,131
"WLITOAUTO15653","ITOAUTO118110","ITOAUTO90927",1,1,81.3799972534179688,103
"WLITOAUTO15447","ITOAUTO118115","ITOAUTO90916",1,1,33.529998779296875,42
"WLITOAUTO15448","ITOAUTO118115","ITOAUTO90931",1,1,8.63000011444091797,10
"WLITOAUTO15664","ITOAUTO118115","ITOAUTO90926",1,1,17.8799991607666016,22
"WLITOAUTO15446","ITOAUTO118115","ITOAUTO90927",1,1,42.75,54
"WLITOAUTO15573","ITOAUTO118117","PARIS174132",1,1,103.089996337890625,131
"WLITOAUTO15572","ITOAUTO118117","PARIS174131",1,1,75.1699981689453125,95
"WLITOAUTO15570","ITOAUTO118117","ITOAUTO83360",1,1,67.9800033569335938,86
"WLITOAUTO15571","ITOAUTO118117","ITOAUTO83441",1,1,112.769996643066406,143
"WLITOAUTO16679","ITOAUTO118121","ITOAUTO120430",1,1,51.6800003051757812,65
"WLITOAUTO15651","ITOAUTO118121","ITOAUTO88663",1,1,66.0400009155273438,84
"WLITOAUTO15650","ITOAUTO118121","ITOAUTO83573",1,1,68.3600006103515625,87
"WLITOAUTO16666","ITOAUTO118121","ITOAUTO120431",1,1,56.5099983215332031,71
"WLITOAUTO20706","ITOAUTO129772","PARIS174156",1,1,52.9500007629394531,67
"WLITOAUTO20708","ITOAUTO129772","ITOAUTO88564",1,1,73.1699981689453125,93
"WLITOAUTO20707","ITOAUTO129772","ITOAUTO83431",1,1,72.8600006103515625,92
"WLITOAUTO20709","ITOAUTO129772","ITOAUTO88565",1,1,51.6199989318847656,65
"WLITOAUTO16490","ITOAUTO119596","ITOAUTO120097",1,0,79.0800018310546875,100
"WLITOAUTO16485","ITOAUTO119600","ITOAUTO120058",1,0,85.089996337890625,108
"WLITOAUTO15475","ITOAUTO118191","ITOAUTO90294",1,1,104.510002136230469,133
"WLITOAUTO15526","ITOAUTO118112","ITOAUTO90186",1,1,72.410003662109375,92
"WLITOAUTO15473","ITOAUTO118119","PARIS174129",1,1,71.1399993896484375,90
"WLITOAUTO15474","ITOAUTO118119","ITOAUTO88730",1,1,73.029998779296875,93
"WLITOAUTO15527","ITOAUTO118143","ITOAUTO90186",1,1,87.0500030517578125,110
"WLITOAUTO15534","ITOAUTO118144","ITOAUTO90193",1,1,67.05999755859375,85
"WLITOAUTO15538","ITOAUTO118145","ITOAUTO90277",1,1,141.6199951171875,180
"WLITOAUTO15540","ITOAUTO118146","ITOAUTO90287",1,1,93.5699996948242188,119
"WLITOAUTO15602","ITOAUTO118152","PARIS174125",1,1,59.0900001525878906,75
"WLITOAUTO15603","ITOAUTO118152","ITOAUTO88599",1,1,59.0900001525878906,75
"WLITOAUTO15525","ITOAUTO118153","ITOAUTO90556",1,1,104.449996948242188,133
"WLITOAUTO15536","ITOAUTO118157","ITOAUTO90490",1,1,90.8499984741210938,115
"WLITOAUTO15537","ITOAUTO118158","ITOAUTO90565",1,1,158.050003051757812,201
"WLITOAUTO15528","ITOAUTO118159","ITOAUTO90313",1,1,67.3799972534179688,85
"WLITOAUTO15529","ITOAUTO118161","ITOAUTO90188",1,1,28.3600006103515625,36
"WLITOAUTO20876","ITOAUTO118162","ITOAUTO92669",1,1,84.44000244140625,107
"WLITOAUTO20875","ITOAUTO118162","ITOAUTO92666",1,1,94.9000015258789062,120
"WLITOAUTO20874","ITOAUTO118163","ITOAUTO92669",1,1,63.6300010681152344,81
"WLITOAUTO20873","ITOAUTO118163","ITOAUTO92666",1,1,73.5199966430664062,93
"WLITOAUTO20878","ITOAUTO118165","ITOAUTO92669",1,1,90.839996337890625,115
"WLITOAUTO20877","ITOAUTO118165","ITOAUTO92666",1,1,103.180000305175781,131
"WLITOAUTO15599","ITOAUTO118168","ITOAUTO97376",1,1,32.9300003051757812,41
"WLITOAUTO15598","ITOAUTO118168","ITOAUTO97240",1,1,28.6200008392333984,36
"WLITOAUTO15533","ITOAUTO118171","ITOAUTO90193",1,1,82.589996337890625,105
"WLITOAUTO15516","ITOAUTO118172","PARIS174138",1,1,153.240005493164062,195
"WLITOAUTO15515","ITOAUTO118172","ITOAUTO83476",1,1,153.050003051757812,194
"WLITOAUTO15514","ITOAUTO118172","ITOAUTO90721",1,1,163.839996337890625,208
"WLITOAUTO15517","ITOAUTO118172","ITOAUTO88593",1,1,167.1300048828125,212
"WLITOAUTO15545","ITOAUTO118174","ITOAUTO90169",1,1,51.970001220703125,66
"WLITOAUTO15547","ITOAUTO118175","ITOAUTO90169",1,1,60.1500015258789062,76
"WLITOAUTO15546","ITOAUTO118177","ITOAUTO90169",1,1,66.2699966430664062,84
"WLITOAUTO15488","ITOAUTO118185","ITOAUTO90170",1,1,221.8800048828125,282
"WLITOAUTO16270","ITOAUTO118185","ITOAUTO106328",1,1,195.990005493164062,249
"WLITOAUTO18155","ITOAUTO118185","ITOAUTO109957",1,1,194.550003051757812,247
"WLITOAUTO15485","ITOAUTO118187","ITOAUTO88707",1,1,68.94000244140625,87
"WLITOAUTO15484","ITOAUTO118187","PARIS174127",1,1,48.7299995422363281,62
"WLITOAUTO15481","ITOAUTO118189","PARIS174088",1,1,100.830001831054688,128
"WLITOAUTO15478","ITOAUTO118189","ITOAUTO83326",1,1,107.800003051757812,137
"WLITOAUTO15479","ITOAUTO118189","ITOAUTO83328",1,1,100.830001831054688,128
"WLITOAUTO15480","ITOAUTO118189","ITOAUTO90716",1,1,106.30999755859375,135
"WLITOAUTO20672","ITOAUTO129808","ITOAUTO96927",1,1,33.3800010681152344,42
"WLITOAUTO20673","ITOAUTO129808","ITOAUTO97012",1,1,36.8800010681152344,46
"WLITOAUTO20593","ITOAUTO129860","ITOAUTO83439",1,1,21.2099990844726562,27
"WLITOAUTO20594","ITOAUTO129860","ITOAUTO88590",1,1,18.4599990844726562,23
"WLITOAUTO16204","ITOAUTO119496","ITOAUTO119199",1,1,96.05999755859375,122
"WLITOAUTO20545","ITOAUTO119601","ITOAUTO129840",1,0,39.2000007629394531,49
"WLITOAUTO16487","ITOAUTO119602","ITOAUTO120097",1,0,79.7699966430664062,101
"WLITOAUTO16488","ITOAUTO119606","ITOAUTO120058",1,0,86.1100006103515625,109
"WLITOAUTO20546","ITOAUTO119607","ITOAUTO129840",1,0,52.0800018310546875,66
"WLITOAUTO16445","ITOAUTO120067","ITOAUTO83539",1,1,71.05999755859375,90
"WLITOAUTO16447","ITOAUTO120067","ITOAUTO90666",1,1,65.7600021362304688,83
"WLITOAUTO16446","ITOAUTO120067","ITOAUTO88704",1,1,66.6299972534179688,84
"WLITOAUTO16444","ITOAUTO120067","ITOAUTO83334",1,1,58.2400016784667969,74
"WLITOAUTO21176","ITOAUTO131254","ITOAUTO90618",1,1,22.5900001525878906,28
"WLITOAUTO21175","ITOAUTO131254","ITOAUTO89109",1,1,42.3800010681152344,53
"WLITOAUTO16692","ITOAUTO120116","ITOAUTO120430",1,1,190.759994506835938,243
"WLITOAUTO16527","ITOAUTO120116","ITOAUTO88663",1,1,79.9800033569335938,101
"WLITOAUTO16526","ITOAUTO120116","ITOAUTO83573",1,1,80.6299972534179688,102
"WLITOAUTO16693","ITOAUTO120116","ITOAUTO120431",1,1,194.1300048828125,247
"WLITOAUTO16686","ITOAUTO120119","ITOAUTO120430",1,1,101.730003356933594,129
"WLITOAUTO16521","ITOAUTO120119","ITOAUTO88663",1,1,80.3899993896484375,102
"WLITOAUTO16520","ITOAUTO120119","ITOAUTO83573",1,1,88.279998779296875,112
"WLITOAUTO16687","ITOAUTO120119","ITOAUTO120431",1,1,107.080001831054688,136
"WLITOAUTO17427","ITOAUTO122707","ITOAUTO90312",1,1,50.6300010681152344,64
"WLITOAUTO16438","ITOAUTO120061","ITOAUTO83361",1,1,101.900001525878906,129
"WLITOAUTO16439","ITOAUTO120061","ITOAUTO88662",1,1,100.699996948242188,128
"WLITOAUTO16509","ITOAUTO120064","ITOAUTO119597",1,1,37.1599998474121094,47
"WLITOAUTO16508","ITOAUTO120064","ITOAUTO119603",1,1,29.0300006866455078,36
"WLITOAUTO16511","ITOAUTO120065","ITOAUTO119597",1,1,144.25,183
"WLITOAUTO16510","ITOAUTO120065","ITOAUTO119603",1,1,152.580001831054688,194
"WLITOAUTO16475","ITOAUTO120066","ITOAUTO119600",1,1,27.7700004577636719,35
"WLITOAUTO16476","ITOAUTO120066","ITOAUTO119606",1,1,24.0100002288818359,30
"WLITOAUTO16491","ITOAUTO120072","ITOAUTO83361",1,1,14.8299999237060547,18
"WLITOAUTO16492","ITOAUTO120072","ITOAUTO88662",1,1,17.7399997711181641,22
