route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
15263,OP2716,"","92",3,FFBE00,000000
15025,OP2716,"","370",3,82C8E6,000000
15124,OP2716,"","40",3,82C8E6,000000
15001,OP2716,"","N42",3,DC9600,000000
14948,OP2716,"","251",3,FF1400,FFFFFF
15272,OP2716,"","368",3,D2D200,000000
26038,OP5842,"A02 SDU","A02 Saint Denis Université",3,709974,FFFFFF
25807,OP5842,"A01 PPM","A01 Paris Porte Maillot",3,0000CC,FFFFFF
28909,OP5842,"A04 VIL","A04 Paris La Villette",3,003DA5,FFFFFF
20626,OP4390,"","3",3,B100BD,FFFFFF
20629,OP4390,"","14",3,0055FA,FFFFFF
20628,OP4390,"","7",3,82DC73,000000
23530,OP4390,"","MONTBUS",3,82DC73,000000
24190,OP4390,"CLAM","ClamiBus",3,F4C931,000000
20660,OP4390,"","AMIBUS",3,3C91DC,000000
19537,OP4390,"FONT","Le Petit Fontenaisien",3,FF82B4,000000
20630,OP4390,"HIRO","L'Hirondelle",3,00643C,FFFFFF
20627,OP4390,"","6",3,FF1400,FFFFFF
32143,OP3931,"EX01","Express 1",3,3C91DC,FFFFFF
18912,OP3931,"","8",3,EA9999,000000
15447,OP3931,"","10",3,A0006E,FFFFFF
15449,OP3931,"","21",3,783F04,FFFFFF
18948,OP3931,"","R4",3,9E2784,FFFFFF
959,OP3931,"","R5",3,FECF00,000000
19240,OP3931,"R2N","R2 Nord",3,9FC5E8,FFFFFF
19241,OP3931,"R2S","R2 Sud",3,0055C8,FFFFFF
12955,OP3931,"","R1",3,E34611,FFFFFF
19242,OP3931,"R3N","R3 Nord",3,A2C119,000000
19243,OP3931,"R3S","R3 Sud",3,A2C119,000000
29965,OP3931,"","N153",3,ED262A,FFFFFF
27193,OP3931,"A14","Express A14 Chambourcy",3,3C91DC,FFFFFF
18679,OP3931,"Soir","Soir Saint-Germain-en-Laye",3,652C8F,FFFFFF
19539,OP3931,"TàD","TàD 78",3,FECB00,000000
22838,OP3931,"","11",3,FF5A00,000000
30229,OP3931,"","12",3,82C8E6,000000
23299,OP3931,"","9",3,D282BE,000000
32144,OP3931,"","15",3,B6D7A8,FFFFFF
941,OP3931,"","18s",3,FBE800,000000
19012,OP3931,"","21s",3,00A092,FFFFFF
32875,OP3961,"","2423",3,00643C,FFFFFF
32876,OP3961,"","2424",3,82C8E6,000000
32879,OP3961,"","2427",3,FF82B4,000000
32881,OP3961,"","2403",3,DC9600,000000
32882,OP3961,"","2411",3,D2D200,000000
32883,OP3961,"","2415",3,0055C8,FFFFFF
32885,OP3961,"","2426",3,FF82B4,000000
32886,OP3961,"","2417",3,D282BE,000000
32888,OP3961,"","2405",3,FFBE00,000000
32889,OP3961,"","2420",3,00643C,FFFFFF
32890,OP3961,"","7708",3,3C91DC,FFFFFF
20527,OP3961,"","N130",3,0A0082,FFFFFF
32892,OP3961,"","2412",3,6E491E,FFFFFF
32893,OP3961,"","2413",3,DC9600,000000
32894,OP3961,"","2414",3,D282BE,000000
32895,OP3961,"","2490",3,FF82B4,000000
32896,OP3961,"","2491",3,640082,FFFFFF
32901,OP3961,"","2474",3,00A092,FFFFFF
32902,OP3961,"","2476",3,FFBE00,000000
32905,OP3961,"","2464",3,0055C8,FFFFFF
32906,OP3961,"","2465",3,FF82B4,000000
32908,OP3961,"","2416",3,3C91DC,FFFFFF
32909,OP3961,"","2471",3,82C8E6,000000
32910,OP3961,"","2456",3,00A092,FFFFFF
32911,OP3961,"","2461",3,82C8E6,000000
32912,OP3961,"","2462",3,6E491E,FFFFFF
32913,OP3961,"","2473",3,DC9600,000000
32916,OP3961,"","2453",3,640082,FFFFFF
32919,OP3961,"","2457",3,6E491E,FFFFFF
32920,OP3961,"","2458",3,A50034,FFFFFF
32921,OP3961,"","2459",3,640082,FFFFFF
32922,OP3961,"","2482",3,82DC73,000000
32924,OP3961,"","2475",3,A50034,FFFFFF
32925,OP3961,"","2470",3,6E6E00,FFFFFF
32927,OP3961,"","2485",3,FFBE00,000000
32928,OP3961,"","7717",3,3C91DC,FFFFFF
32877,OP3961,"","2425",3,A50034,FFFFFF
32931,OP3961,"","2450",3,FF5A00,000000
32897,OP3961,"","2418",3,640082,FFFFFF
32898,OP3961,"","2481",3,0055C8,FFFFFF
32870,OP3961,"","2404",3,DC9600,000000
32899,OP3961,"","2483",3,6E491E,FFFFFF
32871,OP3961,"","2422",3,FFBE00,000000
32872,OP3961,"","2428",3,D282BE,000000
32873,OP3961,"","2406",3,FF1400,FFFFFF
32929,OP3961,"","2407",3,D2D200,000000
32874,OP3961,"","7712",3,3C91DC,FFFFFF
32903,OP3961,"","2460",3,D2D200,000000
32907,OP3961,"","2466",3,00643C,FFFFFF
32891,OP3961,"","2401",3,FF1400,FFFFFF
32880,OP3961,"","2402",3,0055C8,FFFFFF
32884,OP3961,"","2419",3,A50034,FFFFFF
32930,OP3961,"","2472",3,FFBE00,000000
32914,OP3961,"","2451",3,A0006E,FFFFFF
32915,OP3961,"","2452",3,82DC73,000000
32917,OP3961,"","2454",3,FF82B4,000000
32918,OP3961,"","2455",3,00A092,FFFFFF
32923,OP3961,"","2480",3,FF5A00,000000
32887,OP3961,"","2429",3,00643C,FFFFFF
32926,OP3961,"","2484",3,00A092,FFFFFF
32869,OP3961,"","2421",3,A0006E,FFFFFF
32900,OP3961,"","2492",3,FF5A00,000000
32904,OP3961,"","2463",3,82C8E6,000000
32878,OP3961,"","7701",3,3C91DC,FFFFFF
18316,OP6040,"","TUC",3,F4C931,000000
31186,OP2716,"BUS T1","Caméléon T1",3,003CA6,FFFFFF
32242,OP5512,"","7816",3,3C91DC,FFFFFF
29579,OP5512,"","7803",3,3C91DC,FFFFFF
29580,OP5512,"","7805",3,3C91DC,FFFFFF
29583,OP5512,"","5234",3,0055C8,FFFFFF
29572,OP5512,"","7815",3,3C91DC,FFFFFF
29668,OP5512,"","7802",3,3C91DC,FFFFFF
29577,OP5512,"","7807",3,3C91DC,FFFFFF
29571,OP5512,"","7804",3,3C91DC,FFFFFF
29569,OP5512,"","5116",3,FF82B4,000000
29573,OP5512,"","5117",3,00A092,FFFFFF
29574,OP5512,"","7818",3,3C91DC,FFFFFF
29575,OP5512,"","5146",3,82DC73,000000
29576,OP5512,"","5153",3,00643C,FFFFFF
29578,OP5512,"","7808",3,3C91DC,FFFFFF
29581,OP5512,"","5154",3,FFBE00,000000
29582,OP5512,"","9111",3,3C91DC,FFFFFF
28193,OP3963,"","4437",3,008C5A,FFFFFF
28183,OP3963,"","4441",3,8D5E2A,FFFFFF
28192,OP3963,"","4413",3,83C491,000000
32145,OP3963,"","4461",3,BB4B9B,FFFFFF
28197,OP3963,"","4439",3,F3A4BA,000000
28200,OP3963,"","4459",3,CEC92B,000000
28184,OP3963,"","4401",3,E3B32A,000000
28202,OP3963,"","4407",3,9B993B,FFFFFF
28282,OP3963,"","4408",3,D5C900,000000
32147,OP3963,"","4410",3,008C5A,FFFFFF
28186,OP3963,"","4403",3,5291CE,FFFFFF
28204,OP3963,"","4409",3,98D4E2,000000
30361,OP3963,"","9102",3,3BB2FF,FFFFFF
30362,OP3963,"","9103",3,3BB2FF,FFFFFF
32148,OP3963,"","4457",3,5291CE,FFFFFF
28209,OP3963,"","4432",3,00A88F,FFFFFF
28211,OP3963,"","4416",3,8D5E2A,FFFFFF
32308,OP3963,"","4418",3,E0B03B,000000
32149,OP3963,"","4462",3,00B397,FFFFFF
28215,OP3963,"","4463",3,F28E42,000000
28217,OP3963,"","4435",3,83C491,000000
28220,OP3963,"","4404",3,B90845,FFFFFF
28188,OP3963,"","4451",3,98D4E2,000000
28189,OP3963,"","4452",3,006DB8,FFFFFF
28223,OP3963,"","4411",3,006DB8,FFFFFF
28224,OP3963,"","4414",3,00B397,FFFFFF
28190,OP3963,"","4415",3,F28E42,000000
20857,OP3963,"Soir","Soirée Etampes",3,662483,FFFFFF
28185,OP3963,"","4402",3,BE418E,FFFFFF
28187,OP3963,"","4406",3,CEADD2,000000
28194,OP3963,"","4442",3,ED1C2A,FFFFFF
28198,OP3963,"","4438",3,BE418E,FFFFFF
28199,OP3963,"","4440",3,5291CE,FFFFFF
28201,OP3963,"","4412",3,FF0000,FFFFFF
28207,OP3963,"","4430",3,98D4E2,000000
28208,OP3963,"","4431",3,E3B32A,000000
28210,OP3963,"","4433",3,D5C900,000000
28212,OP3963,"","4417",3,83C491,000000
28216,OP3963,"","4434",3,CEADD2,000000
28218,OP3963,"","4456",3,D282BE,000000
28219,OP3963,"","4458",3,9B993B,FFFFFF
28221,OP3963,"","4453",3,F59EB3,000000
28315,OP3963,"","4454",3,8E6539,FFFFFF
28222,OP3963,"","4455",3,00B397,FFFFFF
32146,OP3963,"","4450",3,00814F,FFFFFF
28191,OP3963,"","4405",3,F3A4BA,000000
28206,OP3963,"","4436",3,F78F4B,000000
26534,OP4823,"","3301",3,B80C4B,FFFFFF
32150,OP4823,"","3303",3,C5A3CD,000000
26536,OP4823,"","3304",3,F59EB3,000000
26539,OP4823,"","3311",3,87D3DF,000000
26540,OP4823,"","3306",3,F78F4B,000000
26542,OP4823,"","3319",3,9B9931,FFFFFF
26544,OP4823,"","3302",3,CEC92B,000000
27591,OP4823,"","3310",3,006DB8,FFFFFF
26538,OP4823,"","3305",3,BB4B9B,FFFFFF
32151,OP4823,"","3307",3,008C5A,FFFFFF
26533,OP4823,"","3308",3,78C696,000000
15505,OP4823,"46","Express 46",3,4D90CD,FFFFFF
23035,OP4823,"Soir","Soirée Montereau Sud",3,662D91,FFFFFF
26543,OP4823,"","3315",3,E0B03B,000000
22739,OP4918,"","3204",3,FF82B4,000000
22905,OP4918,"","3240",3,FF82B4,000000
23003,OP4918,"","3241",3,FF82B4,000000
22906,OP4918,"","3243",3,FF82B4,000000
23004,OP4918,"","3244",3,FF82B4,000000
22740,OP4918,"","3201",3,00A092,000000
22907,OP4918,"","3242",3,FF82B4,000000
22908,OP4918,"","3256",3,D282BE,FFFFFF
22909,OP4918,"","3250",3,82C8E6,000000
22910,OP4918,"","3257",3,82C8E6,000000
22911,OP4918,"","3258",3,82C8E6,000000
22741,OP4918,"","3202",3,0055C8,FFFFFF
23002,OP4918,"","3252",3,82DC73,FFFFFF
22913,OP4918,"","3253",3,82DC73,FFFFFF
22914,OP4918,"","3260",3,82C8E6,000000
32152,OP4918,"","3215",3,00643C,FFFFFF
22918,OP4918,"","3261",3,6E6E00,FFFFFF
22749,OP4918,"","3218",3,A50034,FFFFFF
27594,OP4918,"","3211",3,D2D200,000000
22742,OP4918,"","3212",3,D282BE,FFFFFF
22920,OP4918,"","3249",3,6E6E00,FFFFFF
23263,OP2666,"","3657",3,A0006E,FFFFFF
23265,OP2666,"","3660",3,D2D200,000000
23498,OP2666,"","3633",3,82DC73,000000
23250,OP2666,"","3665",3,5A230A,FFFFFF
23497,OP2666,"","3604",3,FF1400,FFFFFF
23251,OP2666,"","3656",3,FF82B4,000000
23511,OP2666,"","3611",3,00A092,FFFFFF
23507,OP2666,"","3630",3,A0006E,FFFFFF
22921,OP4918,"","3246",3,6E491E,FFFFFF
22745,OP4918,"","3208",3,A0006E,FFFFFF
22752,OP4918,"","3209",3,82C8E6,000000
22753,OP4918,"","TàD 3209",3,FFBE00,000000
32153,OP4918,"","3210",3,FF5A00,FFFFFF
22923,OP4918,"","3217",3,82C8E6,000000
32209,OP4918,"","3245",3,FF82B4,000000
22746,OP4918,"","3216",3,A0006E,FFFFFF
25940,OP4918,"","3219",3,640082,FFFFFF
22926,OP4918,"","3254",3,0055C8,FFFFFF
22754,OP4918,"","3203",3,FF1400,FFFFFF
30625,OP4918,"","7704",3,3C91DC,FFFFFF
30626,OP4918,"","7705",3,3C91DC,FFFFFF
30627,OP4918,"","7707",3,3C91DC,FFFFFF
22751,OP4918,"","3207",3,82DC73,FFFFFF
22927,OP4918,"","3255",3,0055C8,FFFFFF
22915,OP4918,"","3251",3,0055C8,FFFFFF
22924,OP4918,"","3259",3,6E491E,FFFFFF
22610,OP4918,"TàD","TàD Nangis / La-Chapelle-Rablais",3,FFBE00,000000
22611,OP4918,"Soir","Soir Provins",3,640082,FFFFFF
22612,OP4918,"Soir","Soirée Nangis",3,640082,FFFFFF
22916,OP4918,"","3262",3,FF82B4,000000
22743,OP4918,"","3213",3,82DC73,FFFFFF
22744,OP4918,"","3214",3,DC9600,000000
22929,OP4918,"","3248",3,6E491E,FFFFFF
22928,OP4918,"","3247",3,6E491E,FFFFFF
28225,OP5517,"","1230",3,F59EB3,000000
28226,OP5517,"","1203",3,E0B03B,000000
28227,OP5517,"","1206",3,78C696,000000
28228,OP5517,"","1236",3,BB4B9B,FFFFFF
28229,OP5517,"","1238",3,ED1C2A,FFFFFF
28230,OP5517,"","1239",3,CEC92B,000000
28231,OP5517,"","1240",3,006DB8,FFFFFF
29899,OP5517,"","1202",3,F78F4B,000000
28233,OP5517,"","1223",3,9B9931,FFFFFF
28234,OP5517,"","1224",3,C5A3CD,000000
28235,OP5517,"","1201",3,B80C4B,FFFFFF
28236,OP5517,"","1237",3,8E6539,FFFFFF
29900,OP5517,"","1207",3,F78F4B,000000
28238,OP5517,"","1208",3,00B397,FFFFFF
