stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,level_id
ITOAUTO133090,,"PSR",48.742371,2.770081,0,,0,ITOAUTO77883,
PARIS35023,,"Lavoisier",48.901333,2.589813,2,,0,ITOAUTO78236,
PARIS35995,,"Cosmonautes - Stalingrad",48.714584,2.258597,1,,0,ITOAUTO68446,
PARIS197699,,"Roger Salengro - Fontainebleau",48.814896,2.360644,1,,0,ITOAUTO78755,
PARIS180340,,"Porte de Vanves",48.827118,2.304196,1,,0,PARIS9626,
PARIS200840,,"Parc des Sports",48.688423,2.607487,2,,0,PARIS206737,
PARIS19350,,"Collège Pablo Picasso",48.910618,2.141770,2,,0,ITOAUTO81677,
PARIS28124,,"Denis Papin",49.007599,2.033345,1,,0,PARIS5420,
PARIS28505,,"Allée des Yvelines",48.774597,1.999432,2,,0,PARIS5582,
PARIS28742,,"Paul Vaillant Couturier",48.799702,2.020503,1,,0,PARIS5650,
PARIS29264,,"Gaston Grinbaum",48.692242,2.433921,2,,0,PARIS5868,
PARIS111961,,"Ferdinand Buisson",48.644188,2.337672,1,,0,PARIS111125,
PARIS185110,,"Lamarck - Mont Cenis",48.889084,2.342740,2,,0,ITOAUTO79114,
PARIS19210,,"Château",48.802681,2.127630,1,,0,PARIS194576,
PARIS33794,,"Rue de Paris",49.009357,2.255688,1,,0,PARIS8129,
PARIS34661,,"Fontaine Ramée",48.726570,3.164811,2,,0,ITOAUTO92053,
PARIS200039,,"Maubeuge - Rochechouart",48.878838,2.345446,1,,0,PARIS10932,
PARIS48144,,"Paul Verlaine",49.157734,2.333244,2,,0,PARIS13708,
PARIS36306,,"Le Parc",48.977913,1.986010,2,,0,PARIS9320,
PARIS195494,,"Centre de Vie",48.937263,2.276856,1,,0,PARIS197288,
PARIS197563,,"Inkermann - Bineau",48.887810,2.276096,1,,0,PARIS11340,
PARIS177844,,"Porte Jaune - Pasteur",48.841663,2.199807,2,,0,ITOAUTO92542,
PARIS177967,,"Gare de Saint-Germain-en-Laye",48.896980,2.095877,1,Europe/Paris,,,
PARIS186558,,"Echou",48.450932,2.917439,2,,0,PARIS13951,
PARIS179537,,"Wilson - Courcelles",48.889263,2.292844,1,,0,PARIS166606,
PARIS17472,,"Le Grippet",48.623718,2.458511,1,,0,PARIS45,
PARIS17658,,"Arnaud Massy",48.605453,2.372476,1,,0,PARIS135,
PARIS17778,,"Les Petits Bois",48.608368,2.372308,1,,0,PARIS196,
PARIS17797,,"Pierre Marcille",48.609879,2.380550,1,,0,PARIS204,
PARIS194001,,"Centre Commercial",48.585140,2.446976,1,,0,PARIS292,
PARIS186868,,"Trésor Public",49.053341,2.674868,2,,0,PARIS167422,
PARIS18464,,"Liberté",48.399384,2.952917,1,,0,ITOAUTO80059,
PARIS50211,,"Croisement",49.051640,2.671541,2,,0,PARIS14742,
PARIS18676,,"Haie Griselle",48.757843,2.502247,2,,0,PARIS676,
PARIS18823,,"Zone d'activité de l'Ormois",48.696594,2.560730,2,,0,ITOAUTO69050,
PARIS19085,,"Les Pins Clos Courché",48.874081,2.094325,1,,0,PARIS896,
PARIS49945,,"Grands Moulins de Paris",48.956512,2.872667,2,,0,ITOAUTO127087,
PARIS19398,,"Les Gressets",48.850555,2.131012,1,,0,PARIS1058,
PARIS168839,,"Théophile Roussel",48.922546,2.133126,2,,0,ITOAUTO81700,
PARIS19676,,"Cimetière",48.932533,2.183681,1,,0,ITOAUTO118911,
