source,target,airline,departure_ts,arrival_ts,distance,delay
ANC,SEA,AS,2015-01-01T23:54:00,2015-01-02T04:08:00,1448,-11.0
LAX,PBI,AA,2015-01-01T00:02:00,2015-01-01T07:41:00,2330,-8.0
SFO,CLT,US,2015-01-01T00:18:00,2015-01-01T08:11:00,2296,-2.0
LAX,MIA,AA,2015-01-01T00:15:00,2015-01-01T07:56:00,2342,-5.0
SEA,ANC,AS,2015-01-01T00:24:00,2015-01-01T02:59:00,1448,-1.0
SFO,MSP,DL,2015-01-01T00:20:00,2015-01-01T06:10:00,1589,-5.0
LAS,MSP,NK,2015-01-01T00:19:00,2015-01-01T05:09:00,1299,-6.0
LAX,CLT,US,2015-01-01T00:44:00,2015-01-01T07:53:00,2125,14.0
SFO,DFW,AA,2015-01-01T00:19:00,2015-01-01T05:32:00,1464,-11.0
LAS,ATL,DL,2015-01-01T00:33:00,2015-01-01T06:56:00,1747,3.0
DEN,ATL,DL,2015-01-01T00:24:00,2015-01-01T04:53:00,1199,-6.0
LAS,MIA,AA,2015-01-01T00:27:00,2015-01-01T07:53:00,2174,-8.0
LAX,MSP,DL,2015-01-01T00:35:00,2015-01-01T06:05:00,1535,0.0
SLC,ATL,DL,2015-01-01T00:34:00,2015-01-01T05:53:00,1590,-6.0
SEA,MSP,DL,2015-01-01T00:39:00,2015-01-01T05:57:00,1399,-1.0
ANC,SEA,AS,2015-01-01T00:41:00,2015-01-01T04:55:00,1448,-4.0
ANC,SEA,DL,2015-01-01T00:31:00,2015-01-01T04:51:00,1448,-14.0
SFO,IAH,UA,2015-01-01T00:42:00,2015-01-01T06:19:00,1635,-6.0
ANC,PDX,AS,2015-01-01T00:46:00,2015-01-01T05:07:00,1542,-4.0
PDX,MSP,DL,2015-01-01T00:45:00,2015-01-01T05:51:00,1426,-5.0
LAS,MCI,NK,2015-01-01T01:20:00,2015-01-01T05:43:00,1139,25.0
SEA,MIA,AA,2015-01-01T00:52:00,2015-01-01T09:39:00,2724,-8.0
LAS,DFW,NK,2015-01-01T01:02:00,2015-01-01T05:29:00,1055,-1.0
LAX,MIA,AA,2015-01-01T01:03:00,2015-01-01T08:39:00,2342,-2.0
LAS,MSP,DL,2015-01-01T01:02:00,2015-01-01T05:45:00,1299,-3.0
LAX,IAH,UA,2015-01-01T01:12:00,2015-01-01T06:07:00,1379,-3.0
FAI,SEA,AS,2015-01-01T01:07:00,2015-01-01T05:45:00,1533,-8.0
MSP,FLL,NK,2015-01-01T01:27:00,2015-01-01T06:07:00,1487,12.0
LAS,CLT,US,2015-01-01T01:10:00,2015-01-01T07:54:00,1916,-10.0
DEN,MIA,AA,2015-01-01T01:41:00,2015-01-01T07:09:00,1709,21.0
PHX,ORD,NK,2015-01-01T02:37:00,2015-01-01T06:32:00,1440,72.0
PHX,MIA,AA,2015-01-01T01:16:00,2015-01-01T07:10:00,1972,-11.0
SLC,ATL,DL,2015-01-01T01:34:00,2015-01-01T07:25:00,1590,-6.0
LAS,IAH,NK,2015-01-01T01:40:00,2015-01-01T06:30:00,1222,-4.0
LAS,HNL,HA,2015-01-01T01:45:00,2015-01-01T06:10:00,2762,0.0
ANC,PHX,US,2015-01-01T01:43:00,2015-01-01T09:05:00,2552,-9.0
SJU,EWR,UA,2015-01-01T01:57:00,2015-01-01T04:58:00,1608,3.0
ANC,SEA,AS,2015-01-01T01:40:00,2015-01-01T05:58:00,1448,-15.0
SJU,JFK,B6,2015-01-01T01:53:00,2015-01-01T05:01:00,1598,-2.0
PBG,FLL,NK,2015-01-01T01:39:00,2015-01-01T04:50:00,1334,-16.0
PHX,DFW,NK,2015-01-01T01:58:00,2015-01-01T05:03:00,868,-1.0
ANC,PDX,AS,2015-01-01T01:50:00,2015-01-01T06:19:00,1542,-10.0
IAG,FLL,NK,2015-01-01T01:55:00,2015-01-01T04:53:00,1176,-5.0
SJU,EWR,B6,2015-01-01T01:52:00,2015-01-01T05:16:00,1608,-14.0
PHX,CLT,US,2015-01-01T02:09:00,2015-01-01T07:28:00,1773,-11.0
ANC,SEA,AS,2015-01-01T02:09:00,2015-01-01T06:28:00,1448,-11.0
PSE,MCO,B6,2015-01-01T02:48:00,2015-01-01T04:51:00,1179,-7.0
BQN,EWR,UA,2015-01-01T02:58:00,2015-01-01T06:05:00,1585,-1.0
BQN,MCO,B6,2015-01-01T03:04:00,2015-01-01T05:20:00,1129,-3.0
SJU,BOS,B6,2015-01-01T03:16:00,2015-01-01T06:19:00,1674,-14.0
SJU,MCO,B6,2015-01-01T05:35:00,2015-01-01T07:30:00,1189,95.0
BQN,MCO,B6,2015-01-01T04:23:00,2015-01-01T06:06:00,1129,4.0
PSE,MCO,B6,2015-01-01T04:13:00,2015-01-01T06:29:00,1179,-11.0
SJU,BDL,B6,2015-01-01T05:50:00,2015-01-01T09:08:00,1666,72.0
ORD,PHX,US,2015-01-01T04:59:00,2015-01-01T07:51:00,1440,-1.0
GEG,SEA,AS,2015-01-01T04:56:00,2015-01-01T06:10:00,224,-4.0
HNL,ITO,HA,2015-01-01T04:52:00,2015-01-01T05:43:00,216,-8.0
ONT,SFO,OO,2015-01-01T05:13:00,2015-01-01T06:38:00,363,13.0
HNL,KOA,HA,2015-01-01T05:01:00,2015-01-01T05:49:00,163,-1.0
ANC,SEA,AS,2015-01-01T04:57:00,2015-01-01T09:16:00,1448,-8.0
HNL,OGG,HA,2015-01-01T04:54:00,2015-01-01T05:30:00,100,-11.0
ORD,IAH,UA,2015-01-01T05:14:00,2015-01-01T08:16:00,925,4.0
MCO,MIA,AA,2015-01-01T05:07:00,2015-01-01T06:02:00,192,-3.0
BOS,MYR,NK,2015-01-01T05:06:00,2015-01-01T07:20:00,738,-4.0
HIB,MSP,OO,2015-01-01T05:00:00,2015-01-01T06:18:00,174,-10.0
ABR,MSP,OO,2015-01-01T05:08:00,2015-01-01T06:15:00,257,-2.0
SEA,PHX,US,2015-01-01T05:10:00,2015-01-01T08:58:00,1107,-5.0
DFW,MIA,AA,2015-01-01T07:03:00,2015-01-01T10:38:00,1121,108.0
BOS,MIA,AA,2015-01-01T05:10:00,2015-01-01T08:45:00,1258,-5.0
MKE,IAH,EV,2015-01-01T05:17:00,2015-01-01T08:26:00,984,2.0
PDX,PHX,US,2015-01-01T06:20:00,2015-01-01T09:50:00,1009,60.0
IAH,MIA,AA,2015-01-01T06:18:00,2015-01-01T09:35:00,964,58.0
BNA,DTW,DL,2015-01-01T05:11:00,2015-01-01T07:57:00,456,-9.0
BRO,IAH,EV,2015-01-01T05:17:00,2015-01-01T06:29:00,308,-3.0
VPS,ATL,EV,2015-01-01T05:14:00,2015-01-01T07:11:00,250,-6.0
BOI,SFO,OO,2015-01-01T05:25:00,2015-01-01T06:15:00,522,5.0
BJI,MSP,OO,2015-01-01T05:17:00,2015-01-01T06:29:00,199,-3.0
HNL,LIH,HA,2015-01-01T05:13:00,2015-01-01T05:48:00,102,-10.0
BNA,ATL,EV,2015-01-01T05:25:00,2015-01-01T07:35:00,214,0.0
PHL,IAH,UA,2015-01-01T05:32:00,2015-01-01T08:26:00,1325,2.0
